time;V(Net-_R1-Pad1_);
0;0;
5e-15;0;
1e-14;0;
2e-14;0;
4e-14;0;
8e-14;0;
1.6e-13;0;
3.2e-13;0;
6.4e-13;0;
1.14e-12;0;
1.64e-12;0;
2.14e-12;0;
2.64e-12;0;
3.14e-12;0;
3.64e-12;0;
4.14e-12;0;
4.64e-12;0;
5.14e-12;0;
5.64e-12;0;
6.14e-12;0;
6.64e-12;0;
7.14e-12;0;
7.64e-12;0;
8.14e-12;0;
8.64e-12;0;
9.14e-12;0;
9.64e-12;0;
1.014e-11;0;
1.064e-11;0;
1.114e-11;0;
1.164e-11;0;
1.214e-11;0;
1.264e-11;0;
1.314e-11;0;
1.364e-11;0;
1.414e-11;0;
1.464e-11;0;
1.514e-11;0;
1.564e-11;0;
1.614e-11;0;
1.664e-11;0;
1.714e-11;0;
1.764e-11;0;
1.814e-11;0;
1.864e-11;0;
1.914e-11;0;
1.964e-11;0;
2.014e-11;0;
2.064e-11;0;
2.114e-11;0;
2.164e-11;0;
2.214e-11;0;
2.264e-11;0;
2.314e-11;0;
2.364e-11;0;
2.414e-11;0;
2.464e-11;0;
2.514e-11;0;
2.564e-11;0;
2.614e-11;0;
2.664e-11;0;
2.714e-11;0;
2.764e-11;0;
2.814e-11;0;
2.864e-11;0;
2.914e-11;0;
2.964e-11;0;
3.014e-11;0;
3.064e-11;0;
3.114e-11;0;
3.164e-11;0;
3.214e-11;0;
3.264e-11;0;
3.314e-11;0;
3.364e-11;0;
3.414e-11;0;
3.464e-11;0;
3.514e-11;0;
3.564e-11;0;
3.614e-11;0;
3.664e-11;0;
3.714e-11;0;
3.764e-11;0;
3.814e-11;0;
3.864e-11;0;
3.914e-11;0;
3.964e-11;0;
4.014e-11;0;
4.064e-11;0;
4.114e-11;0;
4.164e-11;0;
4.214e-11;0;
4.264e-11;0;
4.314e-11;0;
4.364e-11;0;
4.414e-11;0;
4.464e-11;0;
4.514e-11;0;
4.564e-11;0;
4.614e-11;0;
4.664e-11;0;
4.714e-11;0;
4.764e-11;0;
4.814e-11;0;
4.864e-11;0;
4.914e-11;0;
4.964e-11;0;
5.014e-11;0;
5.064e-11;0;
5.114e-11;0;
5.164e-11;0;
5.214e-11;0;
5.264e-11;0;
5.314e-11;0;
5.364e-11;0;
5.414e-11;0;
5.464e-11;0;
5.514e-11;0;
5.564e-11;0;
5.614e-11;0;
5.664e-11;0;
5.714e-11;0;
5.764e-11;0;
5.814e-11;0;
5.864e-11;0;
5.914e-11;0;
5.964e-11;0;
6.014e-11;0;
6.064e-11;0;
6.114e-11;0;
6.164e-11;0;
6.214e-11;0;
6.264e-11;0;
6.314e-11;0;
6.364e-11;0;
6.414e-11;0;
6.464e-11;0;
6.514e-11;0;
6.564e-11;0;
6.614e-11;0;
6.664e-11;0;
6.714e-11;0;
6.764e-11;0;
6.814e-11;0;
6.864e-11;0;
6.914e-11;0;
6.964e-11;0;
7.014e-11;0;
7.064e-11;0;
7.114e-11;0;
7.164e-11;0;
7.214e-11;0;
7.264e-11;0;
7.314e-11;0;
7.364e-11;0;
7.414e-11;0;
7.464e-11;0;
7.514e-11;0;
7.564e-11;0;
7.614e-11;0;
7.664e-11;0;
7.714e-11;0;
7.764e-11;0;
7.814e-11;0;
7.864e-11;0;
7.914e-11;0;
7.964e-11;0;
8.014e-11;0;
8.064e-11;0;
8.114e-11;0;
8.164e-11;0;
8.214e-11;0;
8.264e-11;0;
8.314e-11;0;
8.364e-11;0;
8.414e-11;0;
8.464e-11;0;
8.514e-11;0;
8.564e-11;0;
8.614e-11;0;
8.664e-11;0;
8.714e-11;0;
8.764e-11;0;
8.814e-11;0;
8.864e-11;0;
8.914e-11;0;
8.964e-11;0;
9.014e-11;0;
9.064e-11;0;
9.114e-11;0;
9.164e-11;0;
9.214e-11;0;
9.264e-11;0;
9.314e-11;0;
9.364e-11;0;
9.414e-11;0;
9.464e-11;0;
9.514e-11;0;
9.564e-11;0;
9.614e-11;0;
9.664e-11;0;
9.714e-11;0;
9.764e-11;0;
9.814e-11;0;
9.864e-11;0;
9.914e-11;0;
9.964e-11;0;
1.0014e-10;0;
1.0064e-10;0;
1.0114e-10;0;
1.0164e-10;0;
1.0214e-10;0;
1.0264e-10;0;
1.0314e-10;0;
1.0364e-10;0;
1.0414e-10;0;
1.0464e-10;0;
1.0514e-10;0;
1.0564e-10;0;
1.0614e-10;0;
1.0664e-10;0;
1.0714e-10;0;
1.0764e-10;0;
1.0814e-10;0;
1.0864e-10;0;
1.0914e-10;0;
1.0964e-10;0;
1.1014e-10;0;
1.1064e-10;0;
1.1114e-10;0;
1.1164e-10;0;
1.1214e-10;0;
1.1264e-10;0;
1.1314e-10;0;
1.1364e-10;0;
1.1414e-10;0;
1.1464e-10;0;
1.1514e-10;0;
1.1564e-10;0;
1.1614e-10;0;
1.1664e-10;0;
1.1714e-10;0;
1.1764e-10;0;
1.1814e-10;0;
1.1864e-10;0;
1.1914e-10;0;
1.1964e-10;0;
1.2014e-10;0;
1.2064e-10;0;
1.2114e-10;0;
1.2164e-10;0;
1.2214e-10;0;
1.2264e-10;0;
1.2314e-10;0;
1.2364e-10;0;
1.2414e-10;0;
1.2464e-10;0;
1.2514e-10;0;
1.2564e-10;0;
1.2614e-10;0;
1.2664e-10;0;
1.2714e-10;0;
1.2764e-10;0;
1.2814e-10;0;
1.2864e-10;0;
1.2914e-10;0;
1.2964e-10;0;
1.3014e-10;0;
1.3064e-10;0;
1.3114e-10;0;
1.3164e-10;0;
1.3214e-10;0;
1.3264e-10;0;
1.3314e-10;0;
1.3364e-10;0;
1.3414e-10;0;
1.3464e-10;0;
1.3514e-10;0;
1.3564e-10;0;
1.3614e-10;0;
1.3664e-10;0;
1.3714e-10;0;
1.3764e-10;0;
1.3814e-10;0;
1.3864e-10;0;
1.3914e-10;0;
1.3964e-10;0;
1.4014e-10;0;
1.4064e-10;0;
1.4114e-10;0;
1.4164e-10;0;
1.4214e-10;0;
1.4264e-10;0;
1.4314e-10;0;
1.4364e-10;0;
1.4414e-10;0;
1.4464e-10;0;
1.4514e-10;0;
1.4564e-10;0;
1.4614e-10;0;
1.4664e-10;0;
1.4714e-10;0;
1.4764e-10;0;
1.4814e-10;0;
1.4864e-10;0;
1.4914e-10;0;
1.4964e-10;0;
1.5014e-10;0;
1.5064e-10;0;
1.5114e-10;0;
1.5164e-10;0;
1.5214e-10;0;
1.5264e-10;0;
1.5314e-10;0;
1.5364e-10;0;
1.5414e-10;0;
1.5464e-10;0;
1.5514e-10;0;
1.5564e-10;0;
1.5614e-10;0;
1.5664e-10;0;
1.5714e-10;0;
1.5764e-10;0;
1.5814e-10;0;
1.5864e-10;0;
1.5914e-10;0;
1.5964e-10;0;
1.6014e-10;0;
1.6064e-10;0;
1.6114e-10;0;
1.6164e-10;0;
1.6214e-10;0;
1.6264e-10;0;
1.6314e-10;0;
1.6364e-10;0;
1.6414e-10;0;
1.6464e-10;0;
1.6514e-10;0;
1.6564e-10;0;
1.6614e-10;0;
1.6664e-10;0;
1.6714e-10;0;
1.6764e-10;0;
1.6814e-10;0;
1.6864e-10;0;
1.6914e-10;0;
1.6964e-10;0;
1.7014e-10;0;
1.7064e-10;0;
1.7114e-10;0;
1.7164e-10;0;
1.7214e-10;0;
1.7264e-10;0;
1.7314e-10;0;
1.7364e-10;0;
1.7414e-10;0;
1.7464e-10;0;
1.7514e-10;0;
1.7564e-10;0;
1.7614e-10;0;
1.7664e-10;0;
1.7714e-10;0;
1.7764e-10;0;
1.7814e-10;0;
1.7864e-10;0;
1.7914e-10;0;
1.7964e-10;0;
1.8014e-10;0;
1.8064e-10;0;
1.8114e-10;0;
1.8164e-10;0;
1.8214e-10;0;
1.8264e-10;0;
1.8314e-10;0;
1.8364e-10;0;
1.8414e-10;0;
1.8464e-10;0;
1.8514e-10;0;
1.8564e-10;0;
1.8614e-10;0;
1.8664e-10;0;
1.8714e-10;0;
1.8764e-10;0;
1.8814e-10;0;
1.8864e-10;0;
1.8914e-10;0;
1.8964e-10;0;
1.9014e-10;0;
1.9064e-10;0;
1.9114e-10;0;
1.9164e-10;0;
1.9214e-10;0;
1.9264e-10;0;
1.9314e-10;0;
1.9364e-10;0;
1.9414e-10;0;
1.9464e-10;0;
1.9514e-10;0;
1.9564e-10;0;
1.9614e-10;0;
1.9664e-10;0;
1.9714e-10;0;
1.9764e-10;0;
1.9814e-10;0;
1.9864e-10;0;
1.9914e-10;0;
1.9964e-10;0;
2.0014e-10;0;
2.0064e-10;0;
2.0114e-10;0;
2.0164e-10;0;
2.0214e-10;0;
2.0264e-10;0;
2.0314e-10;0;
2.0364e-10;0;
2.0414e-10;0;
2.0464e-10;0;
2.0514e-10;0;
2.0564e-10;0;
2.0614e-10;0;
2.0664e-10;0;
2.0714e-10;0;
2.0764e-10;0;
2.0814e-10;0;
2.0864e-10;0;
2.0914e-10;0;
2.0964e-10;0;
2.1014e-10;0;
2.1064e-10;0;
2.1114e-10;0;
