time;V(Net-_R1-Pad1_);V(Vcmp);
0;0;1.31933;
5e-14;0;1.31933;
1e-13;0;1.31933;
2e-13;0;1.31933;
4e-13;0;1.31933;
8e-13;0;1.31933;
1.6e-12;0;1.31933;
3.2e-12;0;1.31933;
6.4e-12;0;1.31933;
1.14e-11;0;1.31933;
1.64e-11;0;1.31933;
2.14e-11;0;1.31933;
2.64e-11;0;1.31933;
3.14e-11;0;1.31933;
3.64e-11;0;1.31933;
4.14e-11;0;1.31933;
4.64e-11;0;1.31933;
5.14e-11;0;1.31933;
5.64e-11;0;1.31933;
6.14e-11;0;1.31933;
6.64e-11;0;1.31933;
7.14e-11;0;1.31933;
7.64e-11;0;1.31933;
8.14e-11;0;1.31933;
8.64e-11;0;1.31933;
9.14e-11;0;1.31933;
9.64e-11;0;1.31933;
1.014e-10;0;1.31933;
1.064e-10;0;1.31933;
1.114e-10;0;1.31933;
1.164e-10;0;1.31933;
1.214e-10;0;1.31933;
1.264e-10;0;1.31933;
1.314e-10;0;1.31933;
1.364e-10;0;1.31933;
1.414e-10;0;1.31933;
1.464e-10;0;1.31933;
1.514e-10;0;1.31933;
1.564e-10;0;1.31933;
1.614e-10;0;1.31933;
1.664e-10;0;1.31933;
1.714e-10;0;1.31933;
1.764e-10;0;1.31933;
1.814e-10;0;1.31933;
1.864e-10;0;1.31933;
1.914e-10;0;1.31933;
1.964e-10;0;1.31933;
2.014e-10;0;1.31933;
2.064e-10;0;1.31933;
2.114e-10;0;1.31933;
2.164e-10;0;1.31933;
2.214e-10;0;1.31933;
2.264e-10;0;1.31933;
2.314e-10;0;1.31933;
2.364e-10;0;1.31933;
2.414e-10;0;1.31933;
2.464e-10;0;1.31933;
2.514e-10;0;1.31933;
2.564e-10;0;1.31933;
2.614e-10;0;1.31933;
2.664e-10;0;1.31933;
2.714e-10;0;1.31933;
2.764e-10;0;1.31933;
2.814e-10;0;1.31933;
2.864e-10;0;1.31933;
2.914e-10;0;1.31933;
2.964e-10;0;1.31933;
3.014e-10;0;1.31933;
3.064e-10;0;1.31933;
3.114e-10;0;1.31933;
3.164e-10;0;1.31933;
3.214e-10;0;1.31933;
3.264e-10;0;1.31933;
3.314e-10;0;1.31933;
3.364e-10;0;1.31933;
3.414e-10;0;1.31933;
3.464e-10;0;1.31933;
3.514e-10;0;1.31933;
3.564e-10;0;1.31933;
3.614e-10;0;1.31933;
