time;V(Net-_C1-Pad2_);
0;1.09939;
2e-14;1.09939;
4e-14;1.09939;
8e-14;1.09939;
1.6e-13;1.09939;
3.2e-13;1.09939;
6.4e-13;1.09939;
1.28e-12;1.09939;
2.56e-12;1.09939;
4.56e-12;1.09939;
6.56e-12;1.09939;
8.56e-12;1.09939;
1.056e-11;1.09939;
1.256e-11;1.09939;
1.456e-11;1.09939;
1.656e-11;1.09939;
1.856e-11;1.09939;
2.056e-11;1.09939;
2.256e-11;1.09939;
2.456e-11;1.09939;
2.656e-11;1.09939;
2.856e-11;1.09939;
3.056e-11;1.09939;
3.256e-11;1.09939;
3.456e-11;1.09939;
3.656e-11;1.09939;
3.856e-11;1.09939;
4.056e-11;1.09939;
4.256e-11;1.09939;
4.456e-11;1.09939;
4.656e-11;1.09939;
4.856e-11;1.09939;
5.056e-11;1.09939;
5.256e-11;1.09939;
5.456e-11;1.09939;
5.656e-11;1.09939;
5.856e-11;1.09939;
6.056e-11;1.09939;
6.256e-11;1.09939;
6.456e-11;1.09939;
6.656e-11;1.09939;
6.856e-11;1.09939;
7.056e-11;1.09939;
7.256e-11;1.09939;
7.456e-11;1.09939;
7.656e-11;1.09939;
7.856e-11;1.09939;
8.056e-11;1.09939;
8.256e-11;1.09939;
8.456e-11;1.09939;
8.656e-11;1.09939;
8.856e-11;1.09939;
9.056e-11;1.09939;
9.256e-11;1.09939;
9.456e-11;1.09939;
9.656e-11;1.09939;
9.856e-11;1.09939;
1.0056e-10;1.09939;
1.0256e-10;1.09939;
1.0456e-10;1.09939;
1.0656e-10;1.09939;
1.0856e-10;1.09939;
1.1056e-10;1.09939;
1.1256e-10;1.09939;
1.1456e-10;1.09939;
1.1656e-10;1.09939;
1.1856e-10;1.09939;
1.2056e-10;1.09939;
1.2256e-10;1.09939;
1.2456e-10;1.09939;
1.2656e-10;1.09939;
1.2856e-10;1.09939;
1.3056e-10;1.09939;
1.3256e-10;1.09939;
1.3456e-10;1.09939;
1.3656e-10;1.09939;
1.3856e-10;1.09939;
1.4056e-10;1.09939;
1.4256e-10;1.09939;
1.4456e-10;1.09939;
1.4656e-10;1.09939;
1.4856e-10;1.09939;
1.5056e-10;1.09939;
1.5256e-10;1.09939;
1.5456e-10;1.09939;
1.5656e-10;1.09939;
1.5856e-10;1.09939;
1.6056e-10;1.09939;
1.6256e-10;1.09939;
1.6456e-10;1.09939;
1.6656e-10;1.09939;
1.6856e-10;1.09939;
1.7056e-10;1.09939;
1.7256e-10;1.09939;
1.7456e-10;1.09939;
1.7656e-10;1.09939;
1.7856e-10;1.09939;
1.8056e-10;1.09939;
1.8256e-10;1.09939;
1.8456e-10;1.09939;
1.8656e-10;1.09939;
1.8856e-10;1.09939;
1.9056e-10;1.09939;
1.9256e-10;1.09939;
1.9456e-10;1.09939;
1.9656e-10;1.09939;
1.9856e-10;1.09939;
2.0056e-10;1.09939;
2.0256e-10;1.09939;
2.0456e-10;1.09939;
2.0656e-10;1.09939;
2.0856e-10;1.09939;
2.1056e-10;1.09939;
2.1256e-10;1.09939;
2.1456e-10;1.09939;
2.1656e-10;1.09939;
2.1856e-10;1.09939;
2.2056e-10;1.09939;
2.2256e-10;1.09939;
2.2456e-10;1.09939;
2.2656e-10;1.09939;
2.2856e-10;1.09939;
2.3056e-10;1.09939;
2.3256e-10;1.09939;
2.3456e-10;1.09939;
2.3656e-10;1.09939;
2.3856e-10;1.09939;
2.4056e-10;1.09939;
2.4256e-10;1.09939;
2.4456e-10;1.09939;
2.4656e-10;1.09939;
2.4856e-10;1.09939;
2.5056e-10;1.09939;
2.5256e-10;1.09939;
2.5456e-10;1.09939;
2.5656e-10;1.09939;
2.5856e-10;1.09939;
2.6056e-10;1.09939;
2.6256e-10;1.09939;
2.6456e-10;1.09939;
