1.24k,"R401,R402,R404",R_0402_1005Metric,C852604,3
100,R306,R_0603_1608Metric,C22775,1
10n,"C216,C401,C402",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C76626,3
15p,C207,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C107110,1
18p,C206,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C113825,1
1µ,"C301,C302,C303,C304,C305,C306",C_0805_2012Metric,C76645,6
1µH,"L301,L302",L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,C19533,2
2.2k,R305,R_0603_1608Metric,C113303,1
200,"R201,R202",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C114567,2
220nH,"L203,L207",L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,C108960,2
240,R403,R_0402_1005Metric,C102913,1
270p,"C202,C203,C218,C219",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C113828,4
33p,"C204,C205,C215,C220",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C107115,4
39p,"C212,C214",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C107117,2
430p,"C210,C211",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C520006,2
560p,"C201,C217",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C107119,2
56nH,"L204,L208",L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,C98996,2
74LVC1G66,"U202,U203,U204,U205,U206,U207,U208,U209",SOT-23-5,C133643,8
75pF,C213,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C113832,1
810nH,"L201,L202,L205,L206",L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,C139231,4
820p,C209,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C309484,1
AO3407A,"Q301,Q302",SOT-23,C15155,2

